AccessionID,AccessionName,SampleID,SampleName,AnonName,PopulationName,Latitude,Longitude,Altitude,HaveBGISeq,BGIReadPairs
A25173,LB-11-4,S45173,11-4,LBM02E10,LB-11,-35.40026,149.1318,669,TRUE,33824222
A25174,LB-11-5,S45174,11-5,LBM02F10,LB-11,-35.40026,149.1318,669,TRUE,47717033
A25175,LB-11-6,S45175,11-6,LBM02G10,LB-11,-35.40026,149.1318,669,TRUE,28859598
A25176,LB-11-7,S45176,11-7,LBM02H10,LB-11,-35.40026,149.1318,669,TRUE,40886812
A25177,LB-11-8,S45177,11-8,LBM02A11,LB-11,-35.40026,149.1318,669,FALSE,NA
A25178,LB-11-9,S45178,11-9,LBM02B11,LB-11,-35.40026,149.1318,669,TRUE,32969829
A25179,LB-11-10,S45179,11-10,LBM02C11,LB-11,-35.40026,149.1318,669,TRUE,40596452
A25180,LB-i2-1,S45180,i2-1,LBM02D11,LB-i2,-36.54041,146.10739,195,TRUE,38535166
A25181,LB-i2-2,S45181,i2-2,LBM02E11,LB-i2,-36.54041,146.10739,195,TRUE,50355555
A25182,LB-i2-3,S45182,i2-3,LBM02F11,LB-i2,-36.54041,146.10739,195,TRUE,61001766
A25183,LB-i2-4,S45183,i2-4,LBM02G11,LB-i2,-36.54041,146.10739,195,TRUE,45700381
A25184,LB-i2-5,S45184,i2-5,LBM02H11,LB-i2,-36.54041,146.10739,195,TRUE,77897050
A25185,LB-i2-6,S45185,i2-6,LBM02A12,LB-i2,-36.54041,146.10739,195,FALSE,NA
A25186,LB-i2-7,S45186,i2-7,LBM02B12,LB-i2,-36.54041,146.10739,195,TRUE,43544952
A25187,LB-i2-8,S45187,i2-8,LBM02C12,LB-i2,-36.54041,146.10739,195,TRUE,39784643
A25188,LB-i2-9,S45188,i2-9,LBM02D12,LB-i2,-36.54041,146.10739,195,TRUE,77152921
A25189,LB-i2-10,S45189,i2-10,LBM02E12,LB-i2,-36.54041,146.10739,195,TRUE,52864327
A25190,LB-16-1,S45190,16-1,LBM02F12,LB-16,-33.224724,149.28056,?,FALSE,NA
A25191,LB-16-2,S45191,16-2,LBM02G12,LB-16,-33.224724,149.28056,?,TRUE,27772429
A25192,LB-16-3,S45192,16-3,LBM02H12,LB-16,-33.224724,149.28056,?,FALSE,NA
A25193,LB-16-4,S45193,16-4,LBM03A01,LB-16,-33.224724,149.28056,?,FALSE,NA
A25194,LB-16-5,S45194,16-5,LBM03B01,LB-16,-33.224724,149.28056,?,FALSE,NA
A25195,LB-16-6,S45195,16-6,LBM03C01,LB-16,-33.224724,149.28056,?,FALSE,NA
A25196,LB-16-7,S45196,16-7,LBM03D01,LB-16,-33.224724,149.28056,?,TRUE,48109364
A25197,LB-2-1,S45197,2-1,LBM03E01,LB-2,-36.6755,146.26477,236,TRUE,56578131
A25198,LB-2-2,S45198,2-2,LBM03F01,LB-2,-36.6755,146.26477,236,TRUE,35531658
A25199,LB-2-3,S45199,2-3,LBM03G01,LB-2,-36.6755,146.26477,236,FALSE,NA
A25200,LB-2-4,S45200,2-4,LBM03H01,LB-2,-36.6755,146.26477,236,FALSE,NA
A25201,LB-2-5,S45201,2-5,LBM03A02,LB-2,-36.6755,146.26477,236,TRUE,35330939
A25202,LB-2-6,S45202,2-6,LBM03B02,LB-2,-36.6755,146.26477,236,TRUE,37057188
